id, PASSENGER_WEIGHT_AVERAGE_KG, LOAD_FACTOR_EXPECTED_AVG, BENCHMARK_AVAIL_COMPETING_SYSTEMS, DWELL_TIME_SECONDS, autonomous_system, battery_pack, battery_charger, chasis, motor_and_inverter, total_vehicle_cost_1k_usd, total_vehicle_weight_kg, battery_charge_time_hours, power_consumption_Wh_per_km, range_km, average_speed_km_per_hour, uptime_hours, downtime_hours, availability
1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
4, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
5, 100, 0.75, 0.75, 60, A1, P1, G1, C2, M1, 28.2, 2200.0, 4.0, 195.5, 204.60358056265986, 47.72727272727273, 4.286932164170016, 4.25, 0.5021630817405943, 
6, 100, 0.75, 0.75, 60, A1, P1, G1, C2, M2, 28.4, 2178.0, 4.0, 193.3, 206.93222969477495, 48.209366391184574, 4.292365678811618, 4.25, 0.5024797392434687, 
7, 100, 0.75, 0.75, 60, A1, P1, G1, C2, M3, 28.65, 2258.0, 4.0, 201.3, 198.70839542970688, 65.10186005314438, 3.052269094423661, 4.25, 0.4179891284415292, 
8, 100, 0.75, 0.75, 60, A1, P1, G1, C2, M4, 3627.0, 2218.0, 4.0, 197.3, 202.7369488089204, 142.01983769161407, 1.427525563359319, 4.25, 0.25143445809774045, 
9, 100, 0.75, 0.75, 60, A1, P1, G1, C3, M1, 32.2, 2400.0, 4.0, 205.5, 194.64720194647202, 43.75, 4.449078901633646, 4.25, 0.5114425276448671, 
10, 100, 0.75, 0.75, 60, A1, P1, G1, C3, M2, 32.4, 2378.0, 4.0, 203.3, 196.7535661583866, 44.15475189234651, 4.455999812615651, 4.25, 0.5118309106966176, 
11, 100, 0.75, 0.75, 60, A1, P1, G1, C3, M3, 32.65, 2458.0, 4.0, 211.3, 189.3043066729768, 59.804719283970705, 3.1653740530760337, 4.25, 0.4268664035582909, 
12, 100, 0.75, 0.75, 60, A1, P1, G1, C3, M4, 3631.0, 2418.0, 4.0, 207.3, 192.95706705258078, 130.272952853598, 1.4811752004226677, 4.25, 0.25844179398204975, 
13, 100, 0.75, 0.75, 60, A1, P1, G1, C4, M1, 40.2, 2600.0, 4.0, 210.5, 190.02375296912115, 40.38461538461539, 4.705350073521095, 4.25, 0.5254233541839676, 
14, 100, 0.75, 0.75, 60, A1, P1, G1, C4, M2, 40.4, 2578.0, 4.0, 208.3, 192.03072491598655, 40.729247478665634, 4.714811512699175, 4.25, 0.5259242211640893, 
15, 100, 0.75, 0.75, 60, A1, P1, G1, C4, M3, 40.65, 2658.0, 4.0, 216.3, 184.9283402681461, 55.30474040632054, 3.3438063158689273, 4.25, 0.44033336864034955, 
